episode,rewards,hit_rates,delays,energies
69,-114.38064008347695,0.16,10.190064008347695,204.79999999999998
70,-88.1824999643862,0.12,7.532249996438623,188.59999999999997
71,-98.93726004224268,0.16,8.60072600422427,209.29999999999998
72,-65.89837992150335,0.08,4.345837992150334,264.4
73,-89.76075997918839,0.14,7.444075997918844,223.2
74,-105.34194009877746,0.18,9.270194009877745,216.39999999999995
75,-80.76659997832026,0.1,5.97665999783203,260.0
76,-94.84575996547933,0.1,8.009575996547937,197.5
77,-81.09828009121112,0.1,6.199828009121117,241.0
78,-108.08719990283251,0.16,9.680719990283249,192.79999999999995
79,-170.12672007180734,0.22,15.79167200718075,232.09999999999997
80,-89.44760006260124,0.12,6.983760006260127,256.1
81,-53.72560002379122,0.12,3.5515600023791194,242.1
82,-89.04208002518861,0.1,7.054208002518862,234.99999999999997
83,-73.65722000524403,0.1,6.035722000524402,182.99999999999997
84,-54.69227996401495,0.04,3.172227996401489,249.7
85,-98.29384000495082,0.14,8.417384000495074,211.2
86,-80.56351998694247,0.12,6.595351998694241,206.1
87,-80.57669991370283,0.12,6.2066699913702905,245.1
88,-130.55425995141255,0.3,12.550425995141268,200.5
89,-122.17676007952544,0.2,11.162676007952541,205.49999999999997
90,-43.35853998441251,0.12,2.894853998441249,204.09999999999997
91,-76.3564600082487,0.12,6.029646000824869,220.6
92,-78.50988000679759,0.16,6.302988000679762,234.79999999999998
93,-87.43401998788121,0.12,7.312401998788118,203.1
94,-89.7049599860236,0.12,7.2444959986023605,232.6
95,-122.61583994518975,0.22,11.715583994518965,164.59999999999997
96,-84.08008013159039,0.08,6.489008013159037,231.89999999999998
97,-91.6906199475378,0.18,7.735061994753778,233.39999999999998
98,-43.51158009123056,0.04,2.0541580091230567,249.7
99,-76.89655987299975,0.08,6.000655987299979,208.9
100,-99.1330200657621,0.12,8.742302006576212,177.1
101,-111.4581199852003,0.16,9.422811998520045,252.3
102,-84.04472004681827,0.12,7.1434720046818265,186.09999999999997
103,-99.93011989783487,0.12,7.957011989783496,263.6
104,-101.12925995748488,0.16,9.03992599574849,187.29999999999998
105,-53.73164001934226,0.04,3.3111640019342303,226.2
106,-68.17763989914206,0.06,4.8497639899142095,226.79999999999998
107,-54.27934009041637,0.1,3.472934009041637,245.49999999999997
108,-86.44636005468675,0.14,7.697636005468666,164.7
109,-78.0024199843034,0.08,5.7862419984303415,241.39999999999998
110,-75.45296005882318,0.08,5.3462960058823255,259.9
111,-85.51390002161256,0.08,6.282390002161264,266.9
112,-79.43829997144636,0.1,5.873829997144639,257.0
113,-43.53151998512447,0.06,2.285151998512448,236.79999999999998
114,-77.60139996778224,0.08,5.59613999677822,256.4
115,-123.08787997376174,0.16,11.240787997376174,186.79999999999995
116,-51.82053997885436,0.08,3.513053997885436,206.9
117,-102.82723995305595,0.14,8.915723995305598,206.7
118,-60.043019876740885,0.06,4.496301987674088,180.79999999999998
119,-73.84368010245267,0.14,5.892368010245264,219.19999999999996
120,-92.25079994063817,0.16,7.497079994063824,252.79999999999998
121,-60.92601996377109,0.08,4.91360199637711,157.9
122,-53.44607999909672,0.04,3.3326079999096687,221.2
123,-84.00115999016909,0.08,6.321115999016911,247.89999999999998
124,-80.01272002365444,0.1,6.391272002365443,210.99999999999997
125,-48.2682200012356,0.08,3.4378220001235604,178.89999999999998
126,-91.72381985619666,0.12,7.761381985619664,201.09999999999997
127,-73.81827998977154,0.08,5.5328279989771545,224.89999999999998
128,-26.541999967470765,0.04,0.6471999967470762,220.7
129,-74.32301988963039,0.14,6.055301988963038,207.7
130,-78.839680107832,0.08,6.089968010783198,219.39999999999998
131,-73.21573996011165,0.14,6.074573996011168,194.7
132,-73.89215999111534,0.08,5.780215999111532,200.89999999999998
133,-119.80026000801463,0.14,10.123026000801472,255.7
134,-122.57023999251423,0.14,10.87502399925143,208.2
135,-111.79701990995557,0.14,9.992701990995558,188.69999999999996
136,-68.83413997415454,0.06,4.965413997415451,221.79999999999998
137,-77.36753992807112,0.08,5.51275399280712,262.4
138,-94.72901987861844,0.2,8.742901987861842,172.99999999999997
139,-96.74780009053644,0.2,8.64478000905365,202.99999999999997
140,-81.6885000983626,0.12,6.762850009836256,200.6
141,-38.632479921579375,0.02,1.952247992157936,201.1
142,-130.5998601657896,0.18,11.490986016578967,246.89999999999998
143,-57.2460400217399,0.06,3.846604002173992,217.79999999999998
144,-50.896780000105515,0.12,3.56867800001055,212.09999999999997
145,-104.46511994682244,0.14,8.654511994682249,249.2
146,-99.44961993068449,0.14,8.217961993068458,242.7
147,-120.47195998366914,0.16,10.694195998366924,215.29999999999998
148,-106.7100599209591,0.14,8.889005992095917,248.2
149,-73.77068002022804,0.12,5.816068002022803,216.1
150,-51.09333994321527,0.04,3.197333994321525,211.2
151,-75.2391999407113,0.12,6.137919994071126,198.6
152,-77.35501997336745,0.08,5.611501997336745,252.39999999999998
153,-59.75147990129887,0.06,3.592147990129888,268.3
154,-106.30390011675655,0.14,9.448390011675652,188.2
155,-85.00446015447383,0.1,7.190446015447378,180.99999999999997
156,-88.03266003958883,0.14,7.65126600395888,185.2
157,-118.32317994434389,0.16,10.849317994434386,178.29999999999995
158,-111.8604800158739,0.18,10.087048001587384,199.89999999999995
159,-59.72884004112335,0.08,4.663884004112333,170.89999999999998
160,-85.30994001984598,0.12,7.554994001984596,157.59999999999997
161,-79.64295998979357,0.1,6.03429599897936,242.99999999999997
162,-105.31728013612324,0.14,9.21472801361233,201.7
163,-112.80012002807109,0.18,10.24101200280711,193.89999999999998
164,-92.01016007892794,0.14,8.019016007892787,188.19999999999996
165,-136.8451999936252,0.2,12.489519999362528,219.49999999999997
166,-72.21185984075069,0.12,6.13018598407507,169.1
167,-66.32301993966105,0.1,5.327301993966103,180.49999999999997
168,-68.87308006547393,0.1,5.787308006547391,159.99999999999997
169,-49.37967998195442,0.08,3.3739679981954396,196.39999999999998
170,-90.01029999505732,0.14,7.3990299995057285,230.2
171,-67.67804000739008,0.14,5.720804000739009,174.7
172,-86.71519988838584,0.14,7.439519988838583,193.2
173,-67.11518011000008,0.1,5.651518011000007,155.99999999999997
174,-87.77165997348726,0.12,7.246165997348727,213.1
175,-92.34907997831701,0.12,7.848907997831702,198.6
176,-56.607640067040954,0.06,3.977764006704092,198.29999999999998
177,-51.426399972699585,0.12,3.7866399972699587,195.6
178,-96.26912007521841,0.12,8.370912007521838,185.6
179,-77.88235993742941,0.12,6.252235993742943,213.59999999999997
180,-53.44487992484125,0.08,3.440487992484123,230.4
181,-33.92660004787149,0.06,1.2946600047871473,239.79999999999998
182,-110.1868198374285,0.2,9.818681983742865,220.0
183,-95.0922598889842,0.14,7.757225988898426,245.2
184,-107.10231997825201,0.14,9.243231997825205,216.7
185,-89.52909998912358,0.1,6.792909998912364,266.0
186,-54.47919991921635,0.06,3.604919991921634,214.29999999999998
187,-112.78354000426818,0.18,9.98935400042683,218.9
188,-69.43515981461857,0.14,5.201515981461853,244.2
189,-80.26702006962151,0.1,6.81170200696215,171.5
190,-86.48102000765503,0.1,6.8381020007655025,230.99999999999997
191,-54.13716011248527,0.08,3.7747160112485285,203.89999999999998
192,-101.8316599481926,0.16,9.705165994819255,127.8
193,-55.92226006891582,0.1,3.577226006891577,251.49999999999997
194,-51.59880003973846,0.04,2.8478800039738417,251.2
195,-68.44420000147078,0.1,5.5244200001470745,182.0
196,-77.66198004256935,0.08,5.977198004256934,218.89999999999998
197,-85.26881993919608,0.12,7.01088199391961,211.59999999999997
198,-63.09535985633733,0.14,4.967535985633732,204.2
199,-51.62487986195836,0.08,3.0384879861958325,252.39999999999998
