Block_Count,StaticEncoding,DynamicEncoding
1,0.14285714285714285,0.04999999999999999
1000,142.8571428571412,50.14665831244711
2000,285.7142857142859,100.24271094402326
3000,428.57142857145305,150.26961152882208
4000,571.4285714285967,200.3301482873964
5000,714.2857142857072,250.39966583126738
6000,857.1428571428175,300.46677969436746
7000,999.9999999999278,350.5831764555119
8000,1142.8571428570383,400.59399516897344
