Block_Count,StaticEncoding,DynamicEncoding
1,7.142857142857142,2.5
1000,7142.857142857082,2507.332915622389
2000,14285.714285713966,5012.135547201336
3000,21428.571428572133,7513.4805764411
4000,28571.428571430835,10016.507414369253
5000,35714.28571428804,12519.983291562234
6000,42857.1428571431,15023.338984716685
7000,49999.99999999817,17529.158822773377
8000,57142.85714285323,20029.699758445895
