Node_Count,StaticEncoding,DynamicEncoding
10,1.4000000000000001,3.9959249999999997
20,2.8000000000000003,7.9918499999999995
30,4.2,11.987775
40,5.6000000000000005,15.983699999999999
50,7.0,19.979625
60,8.4,23.97555
70,9.799999999999999,27.971474999999998
80,11.200000000000001,31.967399999999998
90,12.6,35.963325
100,14.0,39.95925
