Block_Count,FullNode,LightNode,Sharding,StaticEncoding,DynamicEncoding
1,50,20.3,10,7.142857142857142,2.5
1000,50000,20299.999999999618,10000,7142.857142857082,2507.332915622389
2000,100000,40600.00000000029,20000,14285.714285713966,5012.135547201336
3000,150000,60900.0000000032,30000,21428.571428572133,7513.4805764411
4000,200000,81200.00000000611,40000,28571.428571430835,10016.507414369253
5000,250000,101500.00000000902,50000,35714.28571428804,12519.983291562234
6000,300000,121800.00000001193,60000,42857.1428571431,15023.338984716685
7000,350000,142100.00000000693,70000,49999.99999999817,17529.158822773377
8000,400000,162399.99999999529,80000,57142.85714285323,20029.699758445895
