Block_Count,FullNode,LightNode,Sharding,StaticEncoding,DynamicEncoding
1,1.0,0.4059999999999999,0.2,0.14285714285714285,0.04999999999999999
1000,1000.0,405.99999999999994,200.0,142.8571428571412,50.14665831244711
2000,2000.0,812.0000000000001,400.0,285.7142857142859,100.24271094402326
3000,3000.0,1218.000000000001,600.0,428.57142857145305,150.26961152882208
4000,4000.0,1624.0000000000002,800.0,571.4285714285967,200.3301482873964
5000,5000.0,2029.9999999999989,1000.0,714.2857142857072,250.39966583126738
6000,6000.0,2435.999999999998,1200.0,857.1428571428175,300.46677969436746
7000,7000.0,2841.9999999999995,1400.0,999.9999999999278,350.5831764555119
8000,8000.0,3248.0000000000023,1600.0,1142.8571428570383,400.59399516897344
